velocity,range_at_30deg,range_at_45deg,meters_per_degree
100,678.5928767521502,739.280391112254,4.045834290673588
225,1942.180784792871,1976.3272807328012,2.2764330626620146
350,2883.667655489475,2849.375021576463,-2.286175594200783
