altitude,velocity,angle,time,error
0,140,31,12.78552995276965,1.143872461382898
100,140,30,12.463633864216002,8.968779916109042
200,140,30,12.47975238543647,4.610789299348198
300,140,30,12.495767170060168,0.26293277079548716
400,140,29,12.166089862195232,9.80044905851878
500,140,29,12.181191318347166,5.588396524270365
600,140,29,12.196192460164058,1.3873472580496582
700,140,29,12.211093373280933,2.8024897914378926
800,140,28,11.872860018546417,8.645951664146196
900,130,41,15.222251394218452,9.23048610314504
