altitude,velocity,angle,time,error
0,170,31,14.783476508904354,0.32382088201643455
100,170,30,14.426495864430743,6.20798206127165
200,170,30,14.450148891872063,0.521108447630013
300,170,29,14.084600870122221,7.959657365063549
400,170,29,14.10703764827155,1.3904991140059337
500,160,39,17.045524743176983,8.610481005408928
600,160,37,16.404881389406313,8.691638308100437
700,160,36,16.08844993725408,7.5706128169053954
800,160,35,15.765130231306546,7.989784769986272
900,160,34,15.434898647332503,9.990958870494751
