altitude,velocity,angle,time,error
0,180,31,15.3954934291635,3.5725629433893573
100,180,30,15.0285824794062,9.478666958505983
200,180,30,15.054840419909155,1.9167454499261112
300,180,29,14.678879386170703,9.873415248971241
400,180,29,14.703830320097602,2.4754248550912052
500,170,38,17.45596968742862,8.675720031589208
600,170,37,17.137256366578782,4.9553358862990535
700,170,35,16.450532278692496,9.63519058391148
800,170,35,16.478153293992012,2.2961497763801617
900,170,34,16.137695170548838,3.4494599183938135
