altitude,velocity,angle,time,error
0,150,31,13.479768432358725,1.3382931576256851
100,150,30,13.145198532377243,6.169806755292257
200,150,30,13.163763218470187,1.0495410120877295
300,150,30,13.182217003528631,4.062180531561808
400,150,29,12.83921238427241,5.3004914923167235
500,150,29,12.856648703513024,0.3352318313845899
600,150,29,12.873977143977365,4.620309661714828
700,140,40,15.780740284476638,8.46901457991271
800,140,38,15.194498343983891,8.814120267165208
900,140,37,14.903376561012793,8.390594547908222
