altitude,velocity,angle,time,error
0,130,31,12.061452746506124,5.187085864751339
100,130,31,12.075942077025877,1.4469781169631233
200,130,30,11.767115637936751,9.556204551269389
300,130,30,11.780786909428087,5.932822922110063
400,130,30,11.794363123403661,2.320608886797004
500,130,30,11.807844430635317,1.2802696354559657
600,130,29,11.49121510363378,8.507772655908525
700,130,29,11.503896973204128,5.0308623559221815
800,130,29,11.51648769349881,1.5658426005277306
900,130,29,11.528987458407594,1.8871352661788023
