wind_speed,wind_angle,range_correction,percent_change
0,0,0.0,0.0
0,45,0.0,0.0
0,90,0.0,0.0
0,135,0.0,0.0
0,180,0.0,0.0
5,0,69.62148888441106,3.9541554109448938
5,45,49.25008525190174,2.7971606785316725
5,90,0.0,0.0
5,135,-49.33580313038624,-2.802029029071934
5,180,-69.79308429291086,-3.963901179440872
10,0,139.0278498679363,7.896092623644341
10,45,98.39927343085947,5.588590903530638
10,90,0.0,0.0
10,135,-98.74310296159138,-5.608118716296081
10,180,-139.71806464072392,-7.935293400908146
15,0,208.17141131115704,11.823104125317785
15,45,147.43137347209336,8.373371102786734
15,90,0.0,0.0
15,135,-148.20858408487857,-8.41751281246908
15,180,-209.73878152211364,-11.912122982856115
20,0,277.00004701301236,15.73222940616746
20,45,196.32912725169513,11.150521100421392
20,90,0.0,0.0
20,135,-197.71978641682585,-11.229503646625068
20,180,-279.8223367787741,-15.89252147298995
