altitude,velocity,angle,time,error
0,130,31,12.049999999999788,6.3059199472505725
100,130,31,12.069999999999787,2.220618083650379
200,130,31,12.079999999999787,1.2342000652932938
300,130,30,11.769999999999794,7.018456754857198
400,130,30,11.789999999999793,2.9898708436777497
500,130,30,11.799999999999793,0.38652191995811336
600,130,29,11.4799999999998,9.630463528770292
700,130,29,11.4999999999998,5.663368768893406
800,130,29,11.509999999999799,2.370507079790059
900,130,29,11.519999999999799,0.9148694244435092
