altitude,velocity,angle,time,error
0,180,31,15.379999999999717,5.419744160105665
100,180,31,15.409999999999716,2.457584127961354
200,180,30,15.039999999999724,3.7373408757798643
300,180,30,15.069999999999723,4.0831033189897425
400,180,29,14.689999999999731,4.242001607025713
500,170,38,17.44999999999993,9.762851282625661
600,170,37,17.129999999999878,6.120532276781887
700,170,36,16.799999999999827,4.227264346543052
800,170,35,16.469999999999775,3.525807945050701
900,170,34,16.129999999999722,4.655674024468226
