velocity,range_at_30deg,range_at_45deg,meters_per_degree
100,678.2870662227331,738.7304587348294,4.029559500806424
225,1940.2970826043852,1974.5412647377505,2.2829454755576837
350,2879.3489499938023,2845.8535860161337,-2.233024265177907
