wind_speed,wind_angle,range_correction,percent_change
0,0,0.0,0.0
0,45,0.0,0.0
0,90,0.0,0.0
0,135,0.0,0.0
0,180,0.0,0.0
5,0,69.4829350672137,3.9496468737613855
5,45,48.97366558752469,2.7838300871615584
5,90,0.0,0.0
5,135,-49.54287079957908,-2.816185651648645
5,180,-69.69163243358162,-3.961509943446624
10,0,138.71503021917147,7.885035151708606
10,45,98.3365484885071,5.589784613134245
10,90,0.0,0.0
10,135,-98.72358060849069,-5.611784838099695
10,180,-139.944071951488,-7.9548980731737196
15,0,208.2431463781611,11.837250272734062
15,45,147.60044266438604,8.390112282551945
15,90,0.0,0.0
15,135,-148.38856981938534,-8.434912116509135
15,180,-209.8933769376806,-11.93105500283199
20,0,276.87866699482674,15.738727220568316
20,45,196.165346271134,11.150706945390601
20,90,0.0,0.0
20,135,-197.7207287291028,-11.239120186090311
20,180,-279.9353871722187,-15.912481614808009
