altitude,velocity,angle,time,error
0,150,31,13.469999999999757,0.14760503368802347
100,150,30,13.129999999999765,7.72216687484206
200,150,30,13.149999999999764,2.508367376999331
300,150,30,13.169999999999764,2.7051914757953455
400,150,29,12.829999999999771,6.464563832522572
500,150,29,12.84999999999977,1.3233302881503732
600,150,29,12.86999999999977,3.8173452327555424
700,140,40,15.769999999999708,9.529856809830562
800,140,38,15.18999999999972,9.54256668473272
900,140,37,14.899999999999727,9.054991137579464
