altitude,velocity,angle,time,error
0,160,31,14.129999999999743,0.2683803296465612
100,160,30,13.78999999999975,6.409452513875749
200,160,30,13.80999999999975,0.5663334228736403
300,160,29,13.459999999999757,9.19101730825696
400,160,29,13.479999999999757,3.4264548619962625
500,160,29,13.499999999999757,2.338536426516839
600,150,39,16.269999999999744,8.880352924212275
700,150,37,15.65999999999971,9.850603329106207
800,150,36,15.349999999999717,9.939498337820169
900,150,36,15.369999999999717,4.403553678497246
